Tree,Elevation,Length,seg_num,branch_num
10,557,18,5,8
10,557,19,4,8
10,557,16,3,8
10,557,14,2,8
10,557,21,1,8
10,557,13,5,9
10,557,11,4,9
10,557,12,3,9
10,557,16,2,9
10,557,20,1,9
10,557,13,5,10
10,557,14,4,10
10,557,12,3,10
10,557,10,2,10
10,557,13,1,10
11,552,12,5,1
11,552,11,4,1
11,552,15,3,1
11,552,15,2,1
11,552,21,1,1
11,552,15,5,2
11,552,15,4,2
11,552,26,3,2
11,552,14,2,2
11,552,21,1,2
11,552,12,5,3
11,552,13,4,3
11,552,29,3,3
11,552,13,2,3
11,552,17,1,3
11,552,15,5,4
11,552,12,4,4
11,552,10,3,4
11,552,6,2,4
11,552,9,1,4
11,552,12,5,5
11,552,20,4,5
11,552,13,3,5
11,552,14,2,5
11,552,11,1,5
11,552,15,5,6
11,552,7,4,6
11,552,12,3,6
11,552,17,2,6
11,552,12,1,6
11,552,13,5,7
11,552,11,4,7
11,552,7,3,7
11,552,21,2,7
11,552,16,1,7
11,552,10,5,8
11,552,5,4,8
11,552,9,3,8
11,552,10,2,8
11,552,15,1,8
11,552,10,5,9
11,552,10,4,9
11,552,15,3,9
11,552,8,2,9
11,552,10,1,9
11,552,15,5,10
11,552,5,4,10
11,552,11,3,10
11,552,20,2,10
11,552,17,1,10
12,549,23,5,1
12,549,30,4,1
12,549,23,3,1
12,549,18,2,1
12,549,22,1,1
12,549,21,5,2
12,549,13,4,2
12,549,31,3,2
12,549,21,2,2
12,549,19,1,2
12,549,21,5,3
12,549,13,4,3
12,549,31,3,3
12,549,21,2,3
12,549,19,1,3
12,549,20,5,4
12,549,27,4,4
12,549,30,3,4
12,549,29,2,4
12,549,28,1,4
12,549,19,5,5
12,549,33,4,5
12,549,19,3,5
12,549,20,2,5
12,549,19,1,5
12,549,22,5,6
12,549,16,4,6
12,549,26,3,6
12,549,17,2,6
12,549,5,1,6
12,549,8,5,7
12,549,36,4,7
12,549,20,3,7
12,549,13,2,7
12,549,19,1,7
12,549,15,5,8
12,549,12,4,8
12,549,36,3,8
12,549,22,2,8
